חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה
11/05/2020 00:40:41,סטודנט/ית,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,37,שעתי,,לא
16/05/2020 17:53:19,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),System support,Dot complains ,0-1,6000,גלובלי,,לא
27/05/2020 09:33:23,סטודנט/ית,מכללת סמי שמעון,מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,Ness,0-1,9000,גלובלי,,לא
27/05/2020 09:33:42,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,14000,גלובלי,,לא
27/05/2020 09:36:49,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,40,שעתי,,לא
27/05/2020 09:40:14,סטודנט/ית,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",,0-1,6500,שעתי,,לא
27/05/2020 09:51:47,סטודנט/ית,המרכז האקדמי רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ייבוא ייצוא,Philips,0-1,45,שעתי,קרן השתלמות אחרי 7 חודשים,לא
27/05/2020 10:07:50,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,google,0-1,13000,שעתי,,לא
31/05/2020 09:44:04,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,MAX,0-1,14000,גלובלי,,לא
02/06/2020 12:47:45,סטודנט/ית,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,5000,שעתי,,לא
06/06/2020 23:58:29,סטודנט/ית,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,בנק,0-1,50,שעתי,,לא
10/06/2020 10:56:06,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),לוגיסטיקה,SolarEdge,0-1,45,שעתי,"10bis,מתנות בחגים",לא
10/06/2020 19:10:32,סטודנט/ית,רופין,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,38,שעתי,,לא
10/06/2020 19:11:18,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,40,שעתי,,לא
10/06/2020 19:13:29,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,10000,שעתי,,לא
10/06/2020 19:14:14,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,10000,שעתי,,לא
10/06/2020 19:30:15,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,One BI,0-1,45,שעתי,,לא
10/06/2020 19:58:57,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",אלביט,0-1,50,שעתי,,לא
10/06/2020 21:31:09,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,תעשייה אווירית,0-1,54.22,שעתי,,לא
15/06/2020 14:11:28,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Bronx’s ,0-1,43500,גלובלי,,כן
15/06/2020 14:11:40,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלביט,0-1,3300,שעתי,כלום,לא
15/06/2020 18:23:16,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Elbit,0-1,40,שעתי,,לא
05/08/2020 11:46:13,בוגר/ת,המרכז האקמי לב,מוסד ממשלתי,הנדסת ארגון ושיטות,,0-1,6000,גלובלי,"קרן השתלמות, פנסיה וכו",לא
05/08/2020 11:46:36,סטודנט/ית,מכללת אפקה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),הנדסת ארגון ושיטות,,0-1,4000,שעתי,,לא
05/08/2020 11:47:24,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,15000,גלובלי,קרן השתלמות,לא
05/08/2020 11:47:59,סטודנט/ית,שנקר,הייטק (סטארט-אפים וחברות גדולות),"הנדסת ארגון ושיטות, Devops, Operations/NOC",,0-1,11000,שעתי,"תןביס, חופשה שנתית, מתנות",לא
05/08/2020 11:52:20,בוגר/ת,מכללת עזריאלי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10000,גלובלי,קרן השתלמות,לא
05/08/2020 11:52:26,בוגר/ת,HIT מכון טכנלוגי,חברה פרטית,ניהול פרוייקטים/ PMO,אשד ניהול נכסים,0-1,6000,שעתי,,לא
05/08/2020 11:53:20,סטודנט/ית,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Expander,0-1,9200,גלובלי,,לא
