חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה
03/08/2019 21:40:34,בוגר/ת,המכללה האקדמית להנדסה ירושלים ,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",HP Indigo ,8-10,19000,גלובלי,קרן השתלמות. תנאים סוציאליים טובים מאוד ,כן
04/08/2019 21:23:38,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תנובה,8-10,16000,גלובלי,,כן
04/08/2019 23:37:13,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,הנדסת ארגון ושיטות,,8-10,25000,שעתי,,לא
22/08/2019 20:28:16,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,8-10,15000,שעתי,קרן הש3,לא
31/01/2021 17:04:04,בוגר/ת,אוניברסיטת תל אביב,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",,8-10,22000,גלובלי,"קרן השתלמות, החזר ארוחות",לא
01/08/2019 11:49:58,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),QA (Software) - ידני,Oracle,5-7,30000,גלובלי,,לא
01/08/2019 12:46:33,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",יועץ בצבא בתחום הSAP HR מערכות מידע,מיישם מערכות מידע,אקסאקט,5-7,20000,גלובלי,יועץ חיצוני בחברת כח אדם ,לא
01/08/2019 13:06:30,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י), מיכון חצי אוטומט",,5-7,40,שעתי,,כן
01/08/2019 17:16:33,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",רכש,,5-7,9500,שעתי,,לא
01/08/2019 19:13:54,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,5-7,18000,גלובלי,,לא
01/08/2019 19:21:07,בוגר/ת,HIT מכון טכנלוגי,יבואני רכב,הנדסת ארגון ושיטות,אלבר,5-7,12000,גלובלי,,כן
02/08/2019 16:39:49,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),הנדסת ארגון ושיטות,Applied Materials,5-7,21000,גלובלי,"משכורת 13, קרן השתלמות, ביטוח רפואי, מניות",כן
03/08/2019 11:59:51,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,5-7,19000,גלובלי,קרן השתלמות,לא
03/08/2019 12:07:26,בוגר/ת,בן גוריון,ייעוץ,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,5-7,22000,גלובלי,"קרן השתלמות, בונוס שנתי",לא
04/08/2019 21:27:27,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,תע''א,5-7,15000,גלובלי,,לא
12/08/2019 17:22:41,בוגר/ת,אוניברסיטת תל אביב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",צהל,5-7,12000,גלובלי,כלום ושום דבר,לא
22/08/2019 19:13:33,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,5-7,19000,גלובלי,קרן השתלמות,לא
22/08/2019 19:17:48,בוגר/ת,מרכז אקדמי לב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",ICL,5-7,10000,גלובלי,השכר כולל את הנסיעות והשעות הנוספות על המשרה המלאה.,לא
22/08/2019 19:51:19,בוגר/ת,בן גוריון,ייעוץ,הנדסת ארגון ושיטות,,5-7,20000,גלובלי,קרן השתלמות,לא
16/10/2019 12:05:29,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח נתונים - BI/Data analyst, כלכלן",ויטה,5-7,12500,גלובלי,עבודה בצפון,לא
05/12/2019 21:56:53,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,5-7,19000,גלובלי,קרן השתלמות,לא
01/02/2020 22:46:50,בוגר/ת,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,5-7,26300,גלובלי,,לא
05/08/2020 15:02:28,בוגר/ת,מנהל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,5-7,25000,גלובלי,השתלמות,לא
21/11/2020 15:39:35,בוגר/ת,בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,טמבור,5-7,12500,גלובלי,"קה""ש",לא
21/05/2021 10:39:43,בוגר/ת,המרכז האקדמי רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Prodalim Group,5-7,17000,גלובלי,"קרן השתלמות, בונוס שנתי",לא
21/05/2021 10:40:28,בוגר/ת,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,5-7,9600,שעתי,,לא
08/10/2021 12:46:27,בוגר/ת,המרכז האקדמי רופין,שרשרת אספקה פרטי,"ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות, תפעול וייצור (תפ""י)",Prodalim,5-7,17000,גלובלי,,לא
08/10/2021 13:56:10,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,IaI,5-7,17500,גלובלי,"קרן השתלמות, הסעדה,הסעות, שעות נוספות",לא
08/10/2021 14:03:56,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",תעשייה,אנליסט וכלכלן,,5-7,12500,גלובלי,קרן השתלמות,לא
13/10/2021 09:09:29,בוגר/ת,טכניון,הייטק (סטארט-אפים וחברות גדולות),ניהול מוצר,,5-7,29500,גלובלי,"מניות, קרן השתלמות בלי תקרה",לא
31/10/2021 07:09:23,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניהול פרוייקטים/ PMO,Citi,5-7,30000,גלובלי,,לא
10/04/2022 13:45:00,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, מדעי נתונים - Data science",,5-7,32000,גלובלי,"אופציות, מניות וכו' בשווי 13 אלף יורו",לא
27/04/2022 14:18:43,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול לוגיסטי,,5-7,17.5,גלובלי,,לא
01/08/2019 11:41:55,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,20000,גלובלי,,
01/08/2019 11:52:02,בוגר/ת,אריאל,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,10500,שעתי,ללא קרן השתלמות,לא
01/08/2019 11:52:41,בוגר/ת,אפקה,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,בזק,2-4,19000,גלובלי,,לא
01/08/2019 12:10:39,בוגר/ת,אוניברסיטת אריאל,ערייה ,"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Metrix,2-4,14500,גלובלי,,לא
01/08/2019 12:21:18,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",לוגיסטיקה שרשרת אספקה ,הנדסת ארגון ושיטות,,2-4,17000,גלובלי,,לא
01/08/2019 12:27:37,בוגר/ת,מכללת סמי שמעון,טבע,הנדסת ארגון ושיטות,טבע תעשיות פרמצבטיות,2-4,7500,שעתי,,לא
01/08/2019 12:49:58,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",קמעונאות,פלנר,Unilever,2-4,12590,גלובלי,,לא
01/08/2019 12:54:06,סטודנט/ית, האוניברסיטה הפתוחה ,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",אינטגרטור,,2-4,10000,גלובלי,,לא
01/08/2019 13:32:30,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Gett,2-4,19000,גלובלי,,לא
01/08/2019 19:05:09,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,10000,שעתי,,לא
01/08/2019 20:15:08,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,2-4,11500,גלובלי,,לא
01/08/2019 22:02:32,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",Ibbl,2-4,11500,גלובלי,"משכורת 13, קרן השתלמות, בונוסים, ",לא
02/08/2019 15:43:41,בוגר/ת,טכניון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Intel,2-4,22000,גלובלי,,לא
02/08/2019 15:48:07,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,הנדסת ארגון ושיטות,תאגיד מי רמת גן,2-4,13000,שעתי,קרן. השתלמות ואחזקת רכב מלאה ,לא
02/08/2019 16:00:01,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",Data engineer ,Rafael,2-4,18000,שעתי,"שעות נוספות, בונוסים רבעוניים אחלה קרן השתלמות",לא
02/08/2019 16:03:47,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,אפרון,2-4,11000,גלובלי,קרן השתלמות מהשנה השניה,לא
02/08/2019 16:52:49,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,12000,גלובלי,,כן
02/08/2019 17:13:14,סטודנט/ית,המרכז האקדמי לב,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,2-4,4000,שעתי,,לא
02/08/2019 18:18:38,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, QA (Software) - ידני",,2-4,5500,שעתי,"קרן השתלמות, ארוחות צהריים, הטבות שונות",לא
02/08/2019 19:23:46,בוגר/ת,אוניברסיטת תל אביב,חברת ייעוץ,"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,2-4,12000,גלובלי,"בונוס חצי שנתי, קרן השתלמות, בעתיד רכב",לא
02/08/2019 19:24:08,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,WaterMatic,2-4,14000,גלובלי,,כן
02/08/2019 20:21:06,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",ניהול פרויקטים ,ניהול פרוייקטים/ PMO,,2-4,8500,גלובלי,שווי רכב וכל ההוצאות הנלוות על חשבון החברה - מס שווי רכב על חשבוני,כן
04/08/2019 01:48:14,בוגר/ת,עזריאלי,מוסד ממשלתי,ניהול פרוייקטים/ PMO,,2-4,13000,גלובלי,,לא
04/08/2019 07:21:33,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",רכש ולוגיסטיקה,תעשייה אווירית,2-4,5500,שעתי,,לא
04/08/2019 10:32:10,בוגר/ת,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",חברת ייעוץ,,2-4,12000,גלובלי,עם משכורת 13. ללא ארוחות והחזרי דלק,לא
04/08/2019 21:19:04,בוגר/ת,HIT מכון טכנלוגי,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",אקסלנס ביוסיינס,2-4,11000,גלובלי,קרן השתלמות אופציות תן ביס ,לא
04/08/2019 21:22:41,בוגר/ת,סינגלובסקי,פרטי,מכירות 😥,S.al,2-4,9000,גלובלי,,לא
04/08/2019 21:28:35,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,18000,גלובלי,קרן השתלמות,לא
04/08/2019 21:28:49,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול,,2-4,8000,שעתי,,לא
04/08/2019 21:29:26,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול,,2-4,8000,שעתי,,לא
04/08/2019 21:29:27,בוגר/ת,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,2-4,13000,גלובלי,,לא
04/08/2019 21:33:09,בוגר/ת,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",ממ,2-4,11000,שעתי,צכנ,לא
04/08/2019 21:34:27,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,,2-4,25000,גלובלי,,לא
04/08/2019 21:39:05,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,ניהול משרד טכני,,2-4,8000,שעתי,,לא
04/08/2019 21:39:10,בוגר/ת,אוניברסיטת אריאל,חברת דלק,"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות, מנהל תהליכים",חברת אנרגיה,2-4,15000,גלובלי,"משכורת 13, קרן השתלמות, חדר אוכל",לא
04/08/2019 21:40:07,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",פוקס,2-4,12000,גלובלי,,לא
04/08/2019 21:44:58,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,18000,גלובלי,"משכורת 13, פרמיה רבעונית, קרן השתלמות, ביגוד",לא
04/08/2019 21:50:20,סטודנט/ית,HIT מכון טכנלוגי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",קניינית רכש ומנהלת ספקים,תעשייה אוירית,2-4,4000,שעתי,משכורת 13 ,לא
04/08/2019 22:10:00,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,16000,גלובלי,,לא
04/08/2019 22:44:38,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",,2-4,10500,גלובלי,קרן השתלמות,לא
04/08/2019 23:43:31,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,10500,גלובלי,משכורת 13,לא
04/08/2019 23:45:07,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,2-4,10500,גלובלי,"בונוס בסך משכורת מידי שנה, קרן השתלמות",לא
05/08/2019 07:25:29,בוגר/ת,המרכז האקדמי רופין,חברת ייעוץ לניהול פרויקטים,ניהול פרוייקטים/ PMO,"אורנטק מערכות ניהוליות בע""מ",2-4,15000,גלובלי,קרן השתלמות מהיום הראשון,לא
05/08/2019 09:48:15,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תעשייה אווירית ,2-4,19000,גלובלי,קרן התשלמות ,לא
05/08/2019 11:13:34,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Iscar,2-4,10500,שעתי,"קרן השתלמות, פלאפון",לא
05/08/2019 11:56:07,בוגר/ת,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",מנהל רכש וקניינות,,2-4,13000,גלובלי,קרן השתלמות,לא
05/08/2019 15:23:03,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,10000,גלובלי,השתלמות,כן
06/08/2019 13:18:30,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות, תפעול וייצור (תפ""י), ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,41,שעתי,,לא
06/08/2019 13:50:23,סטודנט/ית,טכניון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, מדעי נתונים - Data science, Devops",Intel,2-4,90,שעתי,,לא
06/08/2019 15:15:14,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,12500,גלובלי,"משכורת 13 , קרן השתלמות, טלפון, בונוס שנתי",לא
06/08/2019 19:20:10,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלתא,2-4,60,שעתי,,לא
13/08/2019 06:39:23,סטודנט/ית,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,55,שעתי,"תן ביס 100 ביום , נסיעות 50 ביום",לא
22/08/2019 19:25:12,בוגר/ת,מכללת אפקה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",בזק,2-4,19000,גלובלי,,לא
22/08/2019 19:39:28,בוגר/ת,מכללת סמי שמעון,צהל,"ניתוח נתונים - BI/Data analyst, תפעול וייצור (תפ""י), ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",מבט לנגב,2-4,13000,גלובלי,,לא
22/08/2019 20:48:43,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"הנדסת ארגון ושיטות, תפעול וייצור (תפ""י), לוגיסטיקה",Intel,2-4,10700,שעתי,"בונוסים, הטבות באשראי, קרן השתלמות, חדר כושר צמוד",לא
22/08/2019 23:15:10,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלתא,2-4,13000,שעתי,קרן השתלמות,לא
25/08/2019 17:19:32,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,16500,גלובלי,,לא
04/09/2019 23:23:19,בוגר/ת,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Flex,2-4,9100,שעתי,"החזרי דלק, חצי ש'ח לק""מ",לא
05/09/2019 00:04:11,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,פתיחות תיקים ודוחות תפעוליים,רשות האכיפה והגביה,2-4,5800,שעתי,"תנאי עובד מדינה, קרן השתלמות וכל מה שחובה. עבודה עד 120 שעות בחודש. ",לא
09/09/2019 18:52:46,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),Business Analyst,Bolt solutions ,2-4,15000,גלובלי,,לא
11/09/2019 13:02:51,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",צהל,2-4,37,שעתי,"יש קרן השתלמות, פנסיה גבוהה, חברות בארגון עובדים עם הטבות והכי חשוב שעות גמישות מאוד",לא
27/09/2019 14:31:22,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"פקיד מזונות, פתיחת תיקים ודוחות תפעוליים",רשות האכיפה והגביה,2-4,5000,שעתי,קרן השתלמות ,לא
04/10/2019 18:46:43,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Bolt,2-4,15000,גלובלי,,לא
04/10/2019 19:31:14,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,11500,שעתי,משכורת 13 + קרן השתלמות + בונוס שנתי,לא
04/10/2019 19:38:01,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מסחר בציוד מכני הנדסי,"הנדסת ארגון ושיטות, ייעוץ לוגיסטי",,2-4,11200,שעתי,כלום,לא
03/11/2019 18:01:35,בוגר/ת,מכללת בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת ארגון ושיטות,סנמינה,2-4,10000,גלובלי,קרן השתלמות,לא
12/11/2019 15:14:08,בוגר/ת,מכללת אפקה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,הפניקס,2-4,13000,גלובלי,משכורת 13 וקרן השתלמות,לא
16/11/2019 20:50:24,בוגר/ת,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,14000,גלובלי,,לא
28/11/2019 10:49:14,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",בית תוכנה מערכות מידע,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,55,שעתי,קרן השתלמות,לא
05/12/2019 20:11:17,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",מטריקס,2-4,14000,גלובלי,קרן השתלמות,כן
06/12/2019 00:03:25,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,ניהול פרוייקטים/ PMO,,2-4,15000,גלובלי,השתלמות,כן
09/12/2019 09:38:16,סטודנט/ית,מכללת שנקר,מוסד ממשלתי,ניהול פרוייקטים/ PMO,יחידה צבאית,2-4,6500,שעתי,"80 אחוז משרה, קרן השתלמות",לא
09/12/2019 13:00:31,סטודנט/ית,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,2-4,40,שעתי,,לא
09/12/2019 19:08:36,בוגר/ת,מכללת עזריאלי,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,EXLibris,2-4,12900,גלובלי,קרן השתלמות+קרן פנסיה מהיום הראשון. חופשת מחלה 100%מהיום השני. ביטוח בריאות לעובדים ולבני זוגם,לא
09/12/2019 19:17:39,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלישרא,2-4,15900,גלובלי,"משכורת 13,14 קרן השתלמות",לא
09/12/2019 19:22:21,בוגר/ת,האקדמית תל אביב יפו,הייטק (סטארט-אפים וחברות גדולות),QA (Software) - ידני,,2-4,13500,גלובלי,,לא
09/12/2019 19:31:23,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניתוח נתונים - BI/Data analyst, מדעי נתונים - Data science",,2-4,16000,גלובלי,קרן השתלמות,לא
10/12/2019 13:45:16,סטודנט/ית,מכללת שנקר,עבודה מזדמנת,שליחויות,,2-4,4200,שעתי,,לא
13/12/2019 13:34:16,סטודנט/ית,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),תכנות: Frontend/Backend/Fullstack,,2-4,8000,גלובלי,,לא
13/12/2019 14:26:15,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,ACS motion control ,2-4,11500,גלובלי,"קרן השתלמות, כיסוי אובדן כושר עבודה מורחב",לא
13/12/2019 15:20:04,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Vs,2-4,13000,גלובלי,,כן
15/12/2019 20:10:53,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Ophir ,2-4,11000,שעתי,,לא
15/12/2019 20:56:12,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י), ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",תעשיה אווירית,2-4,59,שעתי,יש קרן השתלמות ופנסיה,לא
23/12/2019 09:39:55,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Amdocs,2-4,17000,גלובלי,,לא
05/01/2020 13:19:36,בוגר/ת,מכללת ספיר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",smarTrike,2-4,8400,גלובלי,לא,לא
10/01/2020 12:00:54,בוגר/ת,עזריאלי,מוסד ממשלתי,Analyst soc tier 2,,2-4,12000,שעתי,"קרן השתלמות, פנסיה",לא
